sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
0,052;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@0;BoulwareNegotiationParty@1;Group6@2;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,087;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;BoulwareNegotiationParty@3;ConcederNegotiationParty@4;Group6@5;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,076;85;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;Group6@6;ConcederNegotiationParty@7;BoulwareNegotiationParty@8;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;0.975;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,029;32;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;ConcederNegotiationParty@9;Group6@10;BoulwareNegotiationParty@11;0.5968500104495003;0.2969260373579895;1.0;0.5968500104495003;0.2969260373579895;1.0;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,039;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;BoulwareNegotiationParty@12;Group6@13;ConcederNegotiationParty@14;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,020;25;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;Group6@15;BoulwareNegotiationParty@16;ConcederNegotiationParty@17;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,032;34;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@18;BoulwareNegotiationParty@19;Group6@20;0.5856226065195247;1.0;0.6583333333333333;0.5856226065195247;1.0;0.6583333333333333;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,058;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;BoulwareNegotiationParty@21;ConcederNegotiationParty@22;Group6@23;0.9999999999999999;0.43241457513409964;0.48749999999999993;0.9999999999999999;0.43241457513409964;0.48749999999999993;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,080;85;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;Group6@24;ConcederNegotiationParty@25;BoulwareNegotiationParty@26;0.6123211348649507;0.49464690002105177;0.975;0.6123211348649507;0.49464690002105177;0.975;party3_utility.xml;party2_utility.xml;party1_utility.xml
0,030;32;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;ConcederNegotiationParty@27;Group6@28;BoulwareNegotiationParty@29;0.5968500104495003;0.2969260373579895;1.0;0.5968500104495003;0.2969260373579895;1.0;party3_utility.xml;party2_utility.xml;party1_utility.xml
