sep=;
Run time (s);Round;Exception;deadline;Agreement;Discounted;#agreeing;min.util.;max.util.;Dist. to Pareto;Dist. to Nash;Social Welfare;Agent 1;Agent 2;Agent 3;Utility 1;Utility 2;Utility 3;Disc. Util. 1;Disc. Util. 2;Disc. Util. 3;Profile 1;Profile 2;Profile 3
0,094;84;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;BoulwareNegotiationParty@36;ConcederNegotiationParty@37;Group6@38;0.975;0.49464690002105177;0.6123211348649507;0.975;0.49464690002105177;0.6123211348649507;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,022;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@39;BoulwareNegotiationParty@40;Group6@41;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,035;35;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;Group6@42;BoulwareNegotiationParty@43;ConcederNegotiationParty@44;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,032;32;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;BoulwareNegotiationParty@45;Group6@46;ConcederNegotiationParty@47;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,047;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@48;Group6@49;BoulwareNegotiationParty@50;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,055;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@51;ConcederNegotiationParty@52;BoulwareNegotiationParty@53;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,081;84;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;BoulwareNegotiationParty@54;ConcederNegotiationParty@55;Group6@56;0.975;0.49464690002105177;0.6123211348649507;0.975;0.49464690002105177;0.6123211348649507;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,023;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@57;BoulwareNegotiationParty@58;Group6@59;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,036;35;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;Group6@60;BoulwareNegotiationParty@61;ConcederNegotiationParty@62;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,033;32;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;BoulwareNegotiationParty@63;Group6@64;ConcederNegotiationParty@65;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,047;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@66;Group6@67;BoulwareNegotiationParty@68;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,052;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@69;ConcederNegotiationParty@70;BoulwareNegotiationParty@71;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,100;84;;180rounds;Yes;No;3;0,49465;0,97500;0,00000;0,48526;2,08197;BoulwareNegotiationParty@72;ConcederNegotiationParty@73;Group6@74;0.975;0.49464690002105177;0.6123211348649507;0.975;0.49464690002105177;0.6123211348649507;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,021;24;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;ConcederNegotiationParty@75;BoulwareNegotiationParty@76;Group6@77;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,034;35;;180rounds;Yes;No;3;0,58562;1,00000;0,00000;0,19642;2,24396;Group6@78;BoulwareNegotiationParty@79;ConcederNegotiationParty@80;0.6583333333333333;1.0;0.5856226065195247;0.6583333333333333;1.0;0.5856226065195247;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,031;32;;180rounds;Yes;No;3;0,29693;1,00000;0,00000;0,67808;1,89378;BoulwareNegotiationParty@81;Group6@82;ConcederNegotiationParty@83;1.0;0.2969260373579895;0.5968500104495003;1.0;0.2969260373579895;0.5968500104495003;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,046;50;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;ConcederNegotiationParty@84;Group6@85;BoulwareNegotiationParty@86;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
0,065;61;;180rounds;Yes;No;3;0,43241;1,00000;0,00000;0,64373;1,91991;Group6@87;ConcederNegotiationParty@88;BoulwareNegotiationParty@89;0.48749999999999993;0.43241457513409964;0.9999999999999999;0.48749999999999993;0.43241457513409964;0.9999999999999999;party1_utility.xml;party2_utility.xml;party3_utility.xml
